overs,score,Batsman,Non-Strike Batsman,Bowler,Runs
0.0,0/0,CH Gayle,V Kohli,Muztafizur Rahman,single
0.1,1/0,V Kohli,CH Gayle,Muztafizur Rahman,six!!
0.2,7/0,V Kohli,CH Gayle,Muztafizur Rahman,no runs
0.3,7/0,V Kohli,CH Gayle,Muztafizur Rahman,no runs
0.4,7/0,V Kohli,CH Gayle,Muztafizur Rahman,four runs!
0.5,11/0,V Kohli,CH Gayle,Muztafizur Rahman,extra
0.5,12/0,V Kohli,CH Gayle,Muztafizur Rahman,no runs
1.0,12/0,CH Gayle,V Kohli,B Kumar,no runs
1.1,12/0,CH Gayle,V Kohli,B Kumar,four runs!
1.2,16/0,CH Gayle,V Kohli,B Kumar,single
1.3,17/0,V Kohli,CH Gayle,B Kumar,single
1.4,18/0,CH Gayle,V Kohli,B Kumar,no runs
1.5,18/0,CH Gayle,V Kohli,B Kumar,single
2.0,19/0,CH Gayle,V Kohli,A Nehra,no runs
2.1,19/0,CH Gayle,V Kohli,A Nehra,single
2.2,20/0,V Kohli,CH Gayle,A Nehra,single
2.3,21/0,CH Gayle,V Kohli,A Nehra,six!!
2.4,27/0,CH Gayle,V Kohli,A Nehra,no runs
2.5,27/0,CH Gayle,V Kohli,A Nehra,single
3.0,28/0,CH Gayle,V Kohli,KV Sharma,six!!
3.1,34/0,CH Gayle,V Kohli,KV Sharma,no runs
3.2,34/0,CH Gayle,V Kohli,KV Sharma,single
3.3,35/0,V Kohli,CH Gayle,KV Sharma,no runs
3.4,35/0,V Kohli,CH Gayle,KV Sharma,single
3.5,36/0,CH Gayle,V Kohli,KV Sharma,four runs!
4.0,40/0,V Kohli,CH Gayle,A Ashish Reddy,single
4.1,41/0,CH Gayle,V Kohli,A Ashish Reddy,no runs
4.2,41/0,CH Gayle,V Kohli,A Ashish Reddy,single
4.3,42/0,V Kohli,CH Gayle,A Ashish Reddy,out
4.4,42/1,AB de Villiers,CH Gayle,A Ashish Reddy,no runs
4.5,42/1,AB de Villiers,CH Gayle,A Ashish Reddy,no runs
5.0,42/1,CH Gayle,AB de Villiers,Muztafizur Rahman,single
5.1,43/1,AB de Villiers,CH Gayle,Muztafizur Rahman,four runs!
5.2,47/1,AB de Villiers,CH Gayle,Muztafizur Rahman,single
5.3,48/1,CH Gayle,AB de Villiers,Muztafizur Rahman,no runs
5.4,48/1,CH Gayle,AB de Villiers,Muztafizur Rahman,no runs
5.5,48/1,CH Gayle,AB de Villiers,Muztafizur Rahman,extra
5.5,49/1,CH Gayle,AB de Villiers,Muztafizur Rahman,six!!
6.0,55/1,AB de Villiers,CH Gayle,B Kumar,out
6.1,55/2,SR Watson,CH Gayle,B Kumar,no runs
6.2,55/2,SR Watson,CH Gayle,B Kumar,no runs
6.3,55/2,SR Watson,CH Gayle,B Kumar,six!!
6.4,61/2,SR Watson,CH Gayle,B Kumar,out
6.5,61/3,SN Khan,CH Gayle,B Kumar,out
7.0,61/4,CH Gayle,KM Jadhav,A Nehra,single
7.1,62/4,KM Jadhav,CH Gayle,A Nehra,single
7.2,63/4,CH Gayle,KM Jadhav,A Nehra,single
7.3,64/4,KM Jadhav,CH Gayle,A Nehra,single
7.4,65/4,CH Gayle,KM Jadhav,A Nehra,single
7.5,66/4,KM Jadhav,CH Gayle,A Nehra,no runs
8.0,66/4,CH Gayle,KM Jadhav,KV Sharma,no runs
8.1,66/4,CH Gayle,KM Jadhav,KV Sharma,no runs
8.2,66/4,CH Gayle,KM Jadhav,KV Sharma,single
8.3,67/4,KM Jadhav,CH Gayle,KV Sharma,no runs
8.4,67/4,KM Jadhav,CH Gayle,KV Sharma,extra
8.4,68/4,KM Jadhav,CH Gayle,KV Sharma,single
8.5,69/4,CH Gayle,KM Jadhav,KV Sharma,single
9.0,70/4,CH Gayle,KM Jadhav,A Ashish Reddy,single
9.1,71/4,KM Jadhav,CH Gayle,A Ashish Reddy,no runs
9.2,71/4,KM Jadhav,CH Gayle,A Ashish Reddy,single
9.3,72/4,CH Gayle,KM Jadhav,A Ashish Reddy,single
9.4,73/4,KM Jadhav,CH Gayle,A Ashish Reddy,single
9.5,74/4,CH Gayle,KM Jadhav,A Ashish Reddy,six!!
10.0,80/4,KM Jadhav,CH Gayle,Muztafizur Rahman,double
10.1,82/4,KM Jadhav,CH Gayle,Muztafizur Rahman,single
10.2,83/4,CH Gayle,KM Jadhav,Muztafizur Rahman,no runs
10.3,83/4,CH Gayle,KM Jadhav,Muztafizur Rahman,single
10.4,84/4,KM Jadhav,CH Gayle,Muztafizur Rahman,extra
10.4,85/4,KM Jadhav,CH Gayle,Muztafizur Rahman,no runs
